host_response_time,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,security_deposit,cleaning_fee,guests_included,number_of_reviews,review_scores_rating,cancellation_policy,reviews_per_month,price
N/A,TRUE,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1,1,1,Real Bed,200,35,1,13,98,strict_14_with_grace_period,0.43,74
N/A,FALSE,Centrum-West,Apartment,Entire home/apt,4,1.5,1,3,Real Bed,100,45,2,15,99,strict_14_with_grace_period,0.52,243
within an hour,TRUE,Watergraafsmeer,House,Entire home/apt,4,1,2,2,Real Bed,200,50,1,18,98,moderate,0.66,200
N/A,FALSE,De Baarsjes - Oud-West,Apartment,Entire home/apt,4,1,2,2,Real Bed,0,65,2,13,100,strict_14_with_grace_period,0.44,240
within a day,FALSE,Westerpark,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,30,1,8,98,strict_14_with_grace_period,0.3,120
N/A,TRUE,Oostelijk Havengebied - Indische Buurt,Apartment,Entire home/apt,2,1,2,1,Real Bed,0,50,1,4,95,moderate,0.14,110
within an hour,FALSE,IJburg - Zeeburgereiland,Apartment,Entire home/apt,4,1,2,4,Real Bed,0,0,1,28,100,moderate,0.95,175
N/A,FALSE,Oostelijk Havengebied - Indische Buurt,House,Entire home/apt,4,2,4,5,Real Bed,150,70,2,1,100,strict_14_with_grace_period,0.03,395
N/A,FALSE,Bijlmer-Centrum,Apartment,Entire home/apt,2,1,1,1,Real Bed,93,7,1,3,100,flexible,0.1,40
within an hour,FALSE,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1,0,1,Real Bed,0,40,1,13,98,strict_14_with_grace_period,0.53,90
N/A,FALSE,De Pijp - Rivierenbuurt,Apartment,Private room,2,1,1,1,Real Bed,0,10,1,63,94,strict_14_with_grace_period,2.09,40
within an hour,FALSE,Centrum-West,Bed and breakfast,Private room,2,1,1,1,Real Bed,0,45,1,30,96,strict_14_with_grace_period,1.11,160
within an hour,TRUE,Buitenveldert - Zuidas,Apartment,Entire home/apt,2,1.5,1,2,Real Bed,500,50,1,13,95,strict_14_with_grace_period,0.44,160
N/A,TRUE,IJburg - Zeeburgereiland,Apartment,Private room,2,1,1,1,Real Bed,0,0,1,5,95,flexible,0.17,80
within a few hours,FALSE,Slotervaart,Apartment,Entire home/apt,2,1.5,1,0,Real Bed,100,15,1,26,94,moderate,0.88,90
within an hour,TRUE,Zuid,Apartment,Entire home/apt,3,1.5,1,1,Real Bed,100,25,1,191,98,moderate,6.45,94
N/A,FALSE,Oud-Oost,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,0,1,1,100,flexible,0.03,80
within a few hours,FALSE,Oud-Oost,House,Entire home/apt,2,1.5,2,2,Real Bed,0,60,2,12,95,flexible,0.47,140
within an hour,FALSE,Gaasperdam - Driemond,House,Private room,2,1.5,1,1,Real Bed,350,25,1,52,94,moderate,1.75,58
within a few hours,TRUE,Oud-Oost,Apartment,Entire home/apt,4,1,2,2,Real Bed,300,20,2,26,99,strict_14_with_grace_period,0.92,230
within a day,FALSE,Westerpark,Apartment,Entire home/apt,4,1,2,1,Real Bed,0,40,2,5,96,moderate,0.17,170
N/A,TRUE,Bos en Lommer,Apartment,Entire home/apt,6,1,2,3,Real Bed,0,0,1,2,60,strict_14_with_grace_period,0.07,500
within an hour,TRUE,Watergraafsmeer,Apartment,Entire home/apt,2,1,0,1,Real Bed,300,50,2,57,97,moderate,1.91,109
within a few hours,FALSE,Oud-Oost,Apartment,Entire home/apt,2,1,2,1,Real Bed,500,0,2,19,98,strict_14_with_grace_period,0.63,101
within a few hours,TRUE,Oud-Oost,Apartment,Entire home/apt,2,1,1,1,Real Bed,200,15,1,9,93,moderate,0.31,200
within a day,TRUE,Westerpark,Apartment,Entire home/apt,4,1,2,2,Real Bed,150,30,4,24,99,moderate,0.82,250
N/A,FALSE,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1.5,2,2,Real Bed,200,60,1,15,99,strict_14_with_grace_period,0.51,130
N/A,FALSE,Oostelijk Havengebied - Indische Buurt,Apartment,Private room,2,1.5,1,1,Real Bed,0,50,3,12,90,moderate,0.41,175
within an hour,FALSE,Centrum-West,Apartment,Private room,2,1,1,1,Real Bed,150,27,1,163,100,moderate,5.46,115
within an hour,FALSE,De Baarsjes - Oud-West,Apartment,Entire home/apt,4,1,2,2,Real Bed,100,55,2,20,92,strict_14_with_grace_period,0.72,166
N/A,FALSE,Buitenveldert - Zuidas,Apartment,Entire home/apt,4,1.5,3,3,Real Bed,300,35,3,10,98,strict_14_with_grace_period,0.36,165
N/A,FALSE,Noord-Oost,House,Entire home/apt,4,1,4,5,Real Bed,250,60,2,9,98,moderate,0.31,120
within an hour,FALSE,Centrum-West,Apartment,Entire home/apt,4,1.5,2,2,Real Bed,300,50,1,5,80,strict_14_with_grace_period,0.17,161
N/A,TRUE,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1.5,1,1,Real Bed,300,55,1,5,100,moderate,0.17,150
N/A,FALSE,Centrum-West,Apartment,Entire home/apt,3,1,1,2,Real Bed,300,45,2,13,80,moderate,0.44,96
within an hour,FALSE,Centrum-West,House,Private room,2,1,1,1,Real Bed,0,0,1,59,88,flexible,1.96,200
within an hour,TRUE,Watergraafsmeer,Apartment,Entire home/apt,4,1,2,3,Real Bed,300,50,3,60,97,moderate,2.02,119
N/A,FALSE,Centrum-West,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,30,1,2,100,flexible,0.07,160
within an hour,FALSE,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,3,1,3,3,Real Bed,250,60,2,10,93,moderate,0.33,160
N/A,FALSE,Westerpark,Apartment,Entire home/apt,4,1,2,2,Real Bed,250,50,1,2,100,strict_14_with_grace_period,0.07,225
N/A,FALSE,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,4,1,2,3,Real Bed,150,40,2,10,91,strict_14_with_grace_period,0.33,139
within an hour,FALSE,De Baarsjes - Oud-West,Bed and breakfast,Hotel room,2,1.5,1,1,Real Bed,0,0,2,135,99,flexible,4.54,135
within a few hours,TRUE,Westerpark,House,Entire home/apt,4,1,2,3,Real Bed,0,60,1,32,100,moderate,1.13,240
N/A,FALSE,De Baarsjes - Oud-West,Apartment,Entire home/apt,4,1,1,2,Real Bed,0,0,1,1,100,flexible,0.03,200
within a day,FALSE,De Baarsjes - Oud-West,Apartment,Private room,2,1,1,1,Real Bed,0,15,1,12,100,flexible,0.4,60
within a few hours,FALSE,Westerpark,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,40,1,18,95,flexible,0.63,129
N/A,FALSE,Centrum-Oost,Apartment,Entire home/apt,4,1,1,1,Real Bed,0,20,2,26,86,flexible,0.9,120
N/A,FALSE,IJburg - Zeeburgereiland,Apartment,Entire home/apt,4,1.5,2,2,Real Bed,0,0,1,14,93,moderate,0.47,190
within a few hours,FALSE,IJburg - Zeeburgereiland,Guest suite,Private room,4,1,0,1,Real Bed,100,45,3,67,100,strict_14_with_grace_period,2.29,90
within a few hours,FALSE,Centrum-West,Apartment,Entire home/apt,4,1,2,2,Real Bed,500,100,2,14,97,strict_14_with_grace_period,0.51,450
N/A,TRUE,Westerpark,Apartment,Entire home/apt,3,1,1,2,Real Bed,250,40,2,16,98,strict_14_with_grace_period,0.54,95
within an hour,FALSE,Centrum-West,Apartment,Entire home/apt,4,1,2,4,Real Bed,100,45,1,39,87,strict_14_with_grace_period,1.3,240
N/A,TRUE,IJburg - Zeeburgereiland,Townhouse,Entire home/apt,4,1,4,big,Real Bed,0,100,1,35,97,moderate,1.27,275
within an hour,FALSE,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,40,1,44,98,strict_14_with_grace_period,1.5,161
within a few hours,TRUE,Bijlmer-Centrum,Apartment,Entire home/apt,4,1,2,2,Real Bed,200,45,2,2,100,flexible,0.48,106
N/A,FALSE,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,2,1,1,1,Real Bed,250,40,1,16,96,strict_14_with_grace_period,0.54,130
within an hour,TRUE,Centrum-Oost,Apartment,Entire home/apt,5,3,4,3,Real Bed,200,60,5,42,98,flexible,1.44,375
N/A,FALSE,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,2,1,2,2,Real Bed,0,0,1,27,90,flexible,0.9,120
N/A,FALSE,Zuid,Apartment,Entire home/apt,4,1,1,2,Real Bed,250,40,2,3,87,strict_14_with_grace_period,0.1,110
N/A,FALSE,IJburg - Zeeburgereiland,Apartment,Entire home/apt,4,1.5,2,2,Real Bed,0,55,2,4,70,strict_14_with_grace_period,0.14,109
within a day,FALSE,Westerpark,Apartment,Entire home/apt,2,1,1,1,Real Bed,200,40,1,5,100,strict_14_with_grace_period,0.17,160
within an hour,FALSE,Oostelijk Havengebied - Indische Buurt,Boat,Entire home/apt,4,1.5,2,2,Real Bed,250,55,2,23,91,strict_14_with_grace_period,0.89,250
N/A,FALSE,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,35,1,22,95,moderate,0.74,145
N/A,FALSE,Centrum-West,Townhouse,Entire home/apt,2,1,1,1,Real Bed,0,0,1,3,80,moderate,0.1,150
within an hour,TRUE,Zuid,Apartment,Entire home/apt,2,1.5,1,1,Real Bed,300,59,1,10,92,moderate,0.34,165
N/A,FALSE,Centrum-West,Apartment,Entire home/apt,3,1,2,2,Real Bed,0,50,1,16,97,moderate,0.53,205
within an hour,TRUE,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,3,1,2,2,Real Bed,500,70,3,26,100,strict_14_with_grace_period,0.88,300
within an hour,TRUE,De Pijp - Rivierenbuurt,Condominium,Private room,2,1,0,1,Real Bed,300,30,1,110,99,flexible,5.76,115
N/A,TRUE,Centrum-West,Apartment,Entire home/apt,2,1,1,1,Real Bed,150,45,1,7,97,moderate,0.24,150
within an hour,FALSE,Centrum-Oost,Guest suite,Private room,2,1.5,1,1,Real Bed,0,25,1,277,98,moderate,9.27,116
within an hour,FALSE,Bijlmer-Centrum,Apartment,Private room,2,1,1,1,Real Bed,0,0,1,27,98,flexible,0.91,90
N/A,TRUE,Noord-West,Guest suite,Entire home/apt,4,0.5,1,1,Real Bed,0,35,2,29,94,moderate,0.98,85
N/A,FALSE,Watergraafsmeer,Apartment,Private room,2,1,2,2,Real Bed,0,0,1,5,100,flexible,0.17,80
N/A,FALSE,Centrum-West,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,40,1,6,93,moderate,0.23,130
N/A,TRUE,Oud-Noord,Apartment,Entire home/apt,2,1,1,1,Real Bed,150,25,1,3,100,strict_14_with_grace_period,0.18,150
within a day,TRUE,Noord-West,House,Entire home/apt,4,1.5,3,4,Real Bed,250,60,2,12,98,strict_14_with_grace_period,0.41,155
within a few hours,FALSE,Osdorp,Apartment,Private room,4,1,1,1,Real Bed,180,15,1,14,93,flexible,0.47,58
within a day,FALSE,Westerpark,Apartment,Entire home/apt,4,1.5,1,2,Real Bed,150,10,1,23,95,flexible,0.77,125
N/A,FALSE,IJburg - Zeeburgereiland,House,Entire home/apt,4,1,2,2,Real Bed,500,60,1,2,100,strict_14_with_grace_period,0.07,275
within a day,TRUE,Zuid,Loft,Entire home/apt,2,1.5,1,1,Real Bed,0,20,1,104,99,moderate,3.51,75
N/A,FALSE,De Baarsjes - Oud-West,Apartment,Entire home/apt,3,1.5,2,2,Real Bed,200,40,2,6,96,strict_14_with_grace_period,0.2,129
N/A,FALSE,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1,1,1,Real Bed,250,65,1,17,100,moderate,0.57,104
within an hour,FALSE,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,25,1,35,99,strict_14_with_grace_period,1.18,167
a few days or more,TRUE,De Baarsjes - Oud-West,House,Entire home/apt,4,1.5,3,4,Real Bed,0,50,4,10,98,flexible,0.34,141
within an hour,TRUE,Oud-Noord,Apartment,Private room,1,1,1,1,Real Bed,150,30,1,85,97,moderate,2.89,71
N/A,TRUE,Zuid,Apartment,Entire home/apt,4,1,1,2,Real Bed,250,45,2,3,93,moderate,0.1,120
within a few hours,TRUE,Oud-Oost,Apartment,Entire home/apt,3,1,2,2,Real Bed,0,50,2,38,93,strict_14_with_grace_period,1.28,120
a few days or more,FALSE,Centrum-Oost,Apartment,Entire home/apt,4,2,2,4,Real Bed,0,0,1,21,95,flexible,0.78,335
within an hour,FALSE,Centrum-Oost,Apartment,Entire home/apt,4,2,3,3,Real Bed,100,65,2,18,94,strict_14_with_grace_period,0.62,211
N/A,FALSE,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,2,1,1,1,Real Bed,100,50,2,26,95,strict_14_with_grace_period,0.89,120
within an hour,FALSE,Slotervaart,Apartment,Private room,2,1,1,1,Real Bed,0,0,1,116,87,strict_14_with_grace_period,3.96,68
within an hour,FALSE,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1,1,1,Real Bed,100,45,1,14,89,strict_14_with_grace_period,0.47,72
within an hour,FALSE,Centrum-West,Apartment,Private room,3,1,1,1,Real Bed,100,45,2,66,92,strict_14_with_grace_period,2.21,126
within an hour,FALSE,Centrum-West,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,40,2,55,100,strict_14_with_grace_period,1.84,245
N/A,FALSE,Oud-Oost,Apartment,Entire home/apt,4,1,2,3,Real Bed,0,25,1,12,98,strict_14_with_grace_period,0.41,186
N/A,TRUE,Oostelijk Havengebied - Indische Buurt,Apartment,Private room,2,1,1,2,Real Bed,100,35,2,2,100,moderate,0.07,199
within an hour,FALSE,Oud-Oost,Apartment,Private room,2,1,1,1,Real Bed,0,0,1,222,99,flexible,7.47,69
N/A,TRUE,Bos en Lommer,Apartment,Entire home/apt,2,1,2,1,Real Bed,0,40,1,12,92,moderate,0.41,125
within an hour,FALSE,Watergraafsmeer,Apartment,Entire home/apt,4,1,0,2,Real Bed,0,0,1,25,97,flexible,0.85,200
N/A,FALSE,Bos en Lommer,Apartment,Entire home/apt,2,1,1,1,Real Bed,180,35,1,18,99,moderate,0.61,120
N/A,FALSE,Oud-Noord,House,Entire home/apt,4,1,3,5,Real Bed,400,55,1,5,84,moderate,0.17,155
within a few hours,TRUE,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,2,1,1,Real Bed,0,30,1,8,100,moderate,0.29,85
N/A,TRUE,Oud-Noord,Apartment,Entire home/apt,4,1,2,2,Real Bed,300,35,2,18,98,strict_14_with_grace_period,0.65,125
within an hour,FALSE,Bos en Lommer,Apartment,Entire home/apt,2,1,1,1,Real Bed,100,0,1,3,90,moderate,0.1,110
N/A,TRUE,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1,1,1,Real Bed,250,30,1,19,99,strict_14_with_grace_period,0.65,120
within an hour,TRUE,Bos en Lommer,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,0,1,9,89,strict_14_with_grace_period,0.31,80
within an hour,FALSE,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,4,1,2,2,Real Bed,200,45,2,27,87,strict_14_with_grace_period,0.91,130
within a few hours,FALSE,Centrum-West,House,Private room,4,1,1,3,Real Bed,250,40,1,128,96,strict_14_with_grace_period,4.35,199
within a few hours,FALSE,Oud-Oost,Apartment,Entire home/apt,4,1,2,4,Real Bed,0,60,1,20,96,strict_14_with_grace_period,0.68,150
N/A,TRUE,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,0,1,12,97,flexible,0.6,130
within a few hours,TRUE,Geuzenveld - Slotermeer,House,Private room,2,1,1,1,Real Bed,0,25,1,23,95,strict_14_with_grace_period,0.78,85
within a day,TRUE,Centrum-West,Bed and breakfast,Private room,2,1,1,1,Real Bed,300,40,1,30,100,strict_14_with_grace_period,1.02,150
N/A,TRUE,Buitenveldert - Zuidas,Apartment,Entire home/apt,4,1,1,2,Real Bed,100,35,2,3,93,flexible,0.11,150
within an hour,TRUE,Centrum-West,Guest suite,Private room,4,1.5,2,2,Real Bed,0,53,2,136,96,strict_14_with_grace_period,4.58,200
within an hour,FALSE,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1,1,1,Real Bed,100,45,1,8,98,strict_14_with_grace_period,0.28,175
within an hour,TRUE,Centrum-Oost,Bed and breakfast,Hotel room,2,1,1,1,Real Bed,0,20,1,13,100,strict_14_with_grace_period,7.36,125
within an hour,TRUE,Centrum-Oost,Bed and breakfast,Hotel room,2,1,1,1,Real Bed,0,20,1,8,98,strict_14_with_grace_period,4.53,125
within a few hours,FALSE,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,40,1,31,97,flexible,1.06,142
within an hour,TRUE,De Pijp - Rivierenbuurt,Apartment,Private room,1,1,1,1,Real Bed,100,15,1,135,94,moderate,4.67,70
N/A,FALSE,Watergraafsmeer,House,Entire home/apt,3,1.5,2,4,Real Bed,300,55,1,2,90,moderate,0.1,135
N/A,FALSE,De Baarsjes - Oud-West,Apartment,Entire home/apt,4,1,2,2,Real Bed,100,50,1,26,93,strict_14_with_grace_period,0.88,90
within a day,TRUE,Slotervaart,Apartment,Entire home/apt,4,1,3,3,Real Bed,0,45,4,17,100,strict_14_with_grace_period,0.62,160
N/A,FALSE,Oud-Oost,Apartment,Entire home/apt,4,1,1,2,Real Bed,150,45,2,8,93,moderate,0.27,180
within an hour,FALSE,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,2,1,1,1,Real Bed,300,59,1,67,98,moderate,2.26,150
within a day,FALSE,Watergraafsmeer,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,21,1,16,97,moderate,0.57,152
within a few hours,FALSE,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,4,1,2,2,Real Bed,0,40,1,7,94,strict_14_with_grace_period,0.24,180
within a day,FALSE,Zuid,Apartment,Entire home/apt,4,2,2,2,Real Bed,300,80,1,21,89,strict_14_with_grace_period,0.79,350
N/A,TRUE,Westerpark,Apartment,Entire home/apt,3,1,2,2,Real Bed,100,30,2,13,97,strict_14_with_grace_period,0.46,126
N/A,TRUE,Oud-Oost,Apartment,Entire home/apt,2,1,1,1,Real Bed,450,35,1,3,100,moderate,0.1,165
within an hour,TRUE,Oud-Noord,Apartment,Entire home/apt,2,1,0,2,Real Bed,0,35,1,42,98,moderate,1.54,119
within an hour,FALSE,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,20,2,21,96,moderate,0.73,100
N/A,TRUE,Oostelijk Havengebied - Indische Buurt,Apartment,Entire home/apt,4,1,2,2,Real Bed,500,25,1,4,95,moderate,0.14,199
within a few hours,TRUE,Zuid,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,0,1,15,99,moderate,0.51,149
N/A,TRUE,Centrum-Oost,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,0,1,2,100,flexible,0.07,200
within a few hours,TRUE,Westerpark,Condominium,Private room,1,1,1,1,Real Bed,200,30,1,12,95,strict_14_with_grace_period,0.44,60
a few days or more,TRUE,Centrum-Oost,Apartment,Entire home/apt,2,1,0,1,Real Bed,0,0,1,36,88,flexible,1.24,96
within an hour,FALSE,De Baarsjes - Oud-West,Apartment,Private room,1,1.5,1,1,Real Bed,0,19,1,138,97,moderate,5.2,130
within an hour,TRUE,De Baarsjes - Oud-West,Houseboat,Entire home/apt,4,2.5,2,2,Real Bed,99,40,4,33,98,strict_14_with_grace_period,1.17,225
N/A,TRUE,Zuid,Apartment,Private room,4,1,2,3,Real Bed,250,0,1,6,96,flexible,0.21,90
within a day,FALSE,De Aker - Nieuw Sloten,Townhouse,Entire home/apt,5,2,3,3,Real Bed,150,75,1,3,100,strict_14_with_grace_period,0.1,185
N/A,TRUE,Oud-Oost,House,Entire home/apt,8,2.5,4,5,Real Bed,0,50,1,5,95,strict_14_with_grace_period,0.17,300
within an hour,FALSE,IJburg - Zeeburgereiland,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,35,1,19,99,strict_14_with_grace_period,0.65,98
within a few hours,TRUE,Slotervaart,Apartment,Private room,4,1.5,2,2,Real Bed,0,19,2,144,98,moderate,4.91,65
within a few hours,FALSE,Oud-Oost,Loft,Entire home/apt,4,1,1,1,Real Bed,0,45,1,9,91,moderate,0.3,100
N/A,FALSE,Westerpark,Apartment,Entire home/apt,2,1,1,1,Real Bed,200,0,1,4,100,strict_14_with_grace_period,0.14,199
N/A,TRUE,Oostelijk Havengebied - Indische Buurt,Apartment,Entire home/apt,4,1,3,3,Real Bed,0,50,2,36,99,strict_14_with_grace_period,1.22,210
within a day,TRUE,De Baarsjes - Oud-West,Apartment,Entire home/apt,4,1,2,4,Real Bed,0,50,1,21,96,strict_14_with_grace_period,0.73,180
within an hour,FALSE,Westerpark,Apartment,Entire home/apt,2,1.5,1,1,Real Bed,250,0,1,23,97,strict_14_with_grace_period,0.82,180
N/A,TRUE,Watergraafsmeer,House,Private room,1,1,1,1,Real Bed,0,10,2,5,100,moderate,0.17,60
N/A,TRUE,Oostelijk Havengebied - Indische Buurt,House,Entire home/apt,4,2,3,4,Real Bed,0,100,4,7,100,strict_14_with_grace_period,0.24,375
within a few hours,FALSE,IJburg - Zeeburgereiland,Apartment,Entire home/apt,3,1,2,3,Real Bed,250,0,2,17,98,moderate,0.59,130
N/A,FALSE,Westerpark,Apartment,Entire home/apt,4,1,2,3,Real Bed,0,40,1,11,98,strict_14_with_grace_period,0.37,220
within an hour,FALSE,Westerpark,Apartment,Private room,2,1,1,1,Real Bed,0,0,1,103,99,moderate,3.75,85
N/A,FALSE,Zuid,Apartment,Entire home/apt,2,1,1,1,Real Bed,150,45,1,7,86,moderate,0.24,210
N/A,FALSE,Centrum-West,Apartment,Private room,1,1,0,1,Real Bed,0,0,1,2,90,flexible,0.07,75
N/A,FALSE,Oostelijk Havengebied - Indische Buurt,Apartment,Private room,2,1,1,1,Real Bed,150,10,1,4,95,moderate,0.14,80
N/A,FALSE,Westerpark,Apartment,Entire home/apt,4,1,1,2,Real Bed,0,50,1,30,96,flexible,1.03,195
N/A,FALSE,Noord-West,Townhouse,Entire home/apt,4,1,4,5,Real Bed,0,0,1,1,80,flexible,0.04,155
within a few hours,FALSE,Noord-Oost,Bed and breakfast,Private room,2,1.5,1,2,Real Bed,0,0,2,25,96,strict_14_with_grace_period,0.85,68
N/A,FALSE,Centrum-West,Apartment,Entire home/apt,4,1.5,3,6,Real Bed,500,75,4,7,86,strict_14_with_grace_period,0.3,400
within a day,FALSE,Centrum-West,Apartment,Private room,2,1,1,1,Real Bed,0,20,1,11,98,moderate,0.46,79
within an hour,FALSE,Oostelijk Havengebied - Indische Buurt,Apartment,Entire home/apt,4,2.5,4,4,Real Bed,100,60,2,3,90,strict_14_with_grace_period,0.1,150
N/A,FALSE,Westerpark,Apartment,Entire home/apt,4,1.5,2,1,Real Bed,500,50,1,1,100,strict_14_with_grace_period,0.03,200
N/A,FALSE,Centrum-Oost,Apartment,Entire home/apt,3,1,2,2,Real Bed,0,30,2,21,98,moderate,0.74,170
N/A,TRUE,Westerpark,Loft,Entire home/apt,2,1,1,1,Real Bed,0,35,1,21,98,moderate,0.82,145
N/A,TRUE,Westerpark,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,30,1,16,94,moderate,0.56,100
N/A,FALSE,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,0,1,2,100,strict_14_with_grace_period,0.07,150
within a few hours,FALSE,Oud-Noord,Guest suite,Private room,4,1,0,2,Real Bed,0,0,2,88,99,moderate,3.77,100
N/A,FALSE,Oostelijk Havengebied - Indische Buurt,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,0,1,32,97,moderate,1.12,200
within a day,TRUE,De Baarsjes - Oud-West,Apartment,Entire home/apt,4,1,2,2,Real Bed,0,50,1,5,90,strict_14_with_grace_period,0.17,314
N/A,FALSE,De Pijp - Rivierenbuurt,House,Entire home/apt,2,1,1,1,Real Bed,0,0,1,4,100,flexible,0.14,120
within an hour,TRUE,Noord-Oost,Apartment,Entire home/apt,4,1.5,2,2,Real Bed,0,30,2,13,97,moderate,0.48,110
N/A,FALSE,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1,1,1,Real Bed,100,45,2,23,97,strict_14_with_grace_period,0.78,165
N/A,FALSE,Zuid,Apartment,Entire home/apt,4,1,2,2,Real Bed,500,75,2,11,98,strict_14_with_grace_period,0.38,270
N/A,TRUE,Zuid,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,0,1,5,100,moderate,0.17,170
N/A,FALSE,Centrum-West,Apartment,Entire home/apt,2,1,0,2,Real Bed,0,0,3,20,97,flexible,0.67,146
within an hour,TRUE,Centrum-Oost,Apartment,Entire home/apt,4,1.5,2,3,Real Bed,180,45,2,160,98,moderate,5.43,218
within an hour,TRUE,De Pijp - Rivierenbuurt,Apartment,Private room,2,1,1,1,Real Bed,0,15,2,228,97,moderate,7.69,100
N/A,TRUE,Zuid,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,15,1,2,100,flexible,0.07,150
N/A,FALSE,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,4,1,3,4,Real Bed,500,80,1,20,94,moderate,0.7,239
N/A,TRUE,Zuid,Apartment,Private room,2,1,1,1,Real Bed,0,0,1,7,97,flexible,0.24,60
N/A,FALSE,Zuid,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,20,1,27,93,moderate,0.92,135
within a day,FALSE,Gaasperdam - Driemond,Apartment,Entire home/apt,3,1,2,2,Real Bed,250,25,3,10,98,strict_14_with_grace_period,0.35,200
within an hour,FALSE,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,30,1,11,100,flexible,0.37,150
N/A,FALSE,Oostelijk Havengebied - Indische Buurt,Apartment,Entire home/apt,2,1,1,1,Real Bed,250,0,1,11,91,moderate,0.37,120
within an hour,FALSE,Bos en Lommer,Apartment,Entire home/apt,2,1,1,1,Real Bed,250,50,1,16,95,strict_14_with_grace_period,0.54,120
within an hour,FALSE,Zuid,Loft,Entire home/apt,4,1,2,2,Real Bed,0,50,1,29,92,strict_14_with_grace_period,0.99,215
N/A,FALSE,Zuid,Apartment,Entire home/apt,4,1,2,2,Real Bed,0,20,2,11,95,flexible,0.37,112
N/A,FALSE,Bos en Lommer,Apartment,Entire home/apt,4,1,1,2,Real Bed,100,50,2,23,99,strict_14_with_grace_period,0.86,110
within an hour,FALSE,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1,1,1,Real Bed,150,40,1,27,100,strict_14_with_grace_period,0.92,135
N/A,TRUE,De Baarsjes - Oud-West,Apartment,Entire home/apt,4,1,2,2,Real Bed,0,25,1,7,100,moderate,0.26,120
N/A,FALSE,Zuid,Apartment,Entire home/apt,4,1,2,2,Real Bed,150,55,2,13,85,moderate,0.44,140
N/A,FALSE,Oud-Oost,Apartment,Entire home/apt,4,1.5,2,2,Real Bed,0,0,1,2,80,strict_14_with_grace_period,0.07,175
within an hour,FALSE,Centrum-West,Apartment,Private room,2,1,0,1,Real Bed,250,30,1,124,95,moderate,4.23,60
within an hour,TRUE,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,3,1,2,2,Real Bed,0,50,1,4,100,strict_14_with_grace_period,0.16,150
within an hour,FALSE,Watergraafsmeer,House,Entire home/apt,4,1.5,2,3,Real Bed,100,50,1,3,93,strict_14_with_grace_period,0.12,178
N/A,FALSE,De Pijp - Rivierenbuurt,Townhouse,Entire home/apt,4,2,2,2,Real Bed,0,40,4,15,100,moderate,0.54,330
within a few hours,FALSE,Centrum-West,House,Entire home/apt,2,1,1,1,Real Bed,0,0,1,10,98,moderate,0.35,129
